product_category,product_name,product_link,product_price,product_quantity
"Aardappel, groente, fruit",Zespri kiwi sungoldAdvertentie,https://www.ah.nl/producten/product/wi367212/zespri-kiwi-sungold,5.99,750 g
"Aardappel, groente, fruit",Zespri Kiwi goldAdvertentie,https://www.ah.nl/producten/product/wi523724/zespri-kiwi-gold,2.99,3 stuks
"Aardappel, groente, fruit",AH Komkommer,https://www.ah.nl/producten/product/wi54074/ah-komkommer,0.85,per stuk
"Aardappel, groente, fruit",AH Bananen tros,https://www.ah.nl/producten/product/wi197393/ah-bananen-tros,1.55,Tros
"Aardappel, groente, fruit",AH Nederlandse aardbeien,https://www.ah.nl/producten/product/wi491168/ah-nederlandse-aardbeien,3.69,400 g
"Aardappel, groente, fruit",Zespri Sungold kiwi bioAdvertentie,https://www.ah.nl/producten/product/wi505698/zespri-sungold-kiwi-bio,4.99,4 stuks
"Aardappel, groente, fruit",AH Courgette,https://www.ah.nl/producten/product/wi4164/ah-courgette,0.65,per stuk
"Aardappel, groente, fruit",AH Paprika rood,https://www.ah.nl/producten/product/wi4117/ah-paprika-rood,0.75,per stuk
"Aardappel, groente, fruit",AH Broccoli,https://www.ah.nl/producten/product/wi4177/ah-broccoli,1.05,500 g
"Aardappel, groente, fruit",AH Witte druiven pitloos,https://www.ah.nl/producten/product/wi80585/ah-witte-druiven-pitloos,2.19,500 g
"Aardappel, groente, fruit",AH Paprika mix,https://www.ah.nl/producten/product/wi41194/ah-paprika-mix,1.85,3 stuks
"Aardappel, groente, fruit",Chiquita Bananen family pack,https://www.ah.nl/producten/product/wi495314/chiquita-bananen-family-pack,2.19,1 kg
"Aardappel, groente, fruit",AH Blauwe bessen,https://www.ah.nl/producten/product/wi177754/ah-blauwe-bessen,4.29,300 g
"Aardappel, groente, fruit",AH Avocado eetrijp,https://www.ah.nl/producten/product/wi129400/ah-avocado-eetrijp,2.99,2 stuks
"Aardappel, groente, fruit",AH Zoete kleine appeltjes,https://www.ah.nl/producten/product/wi129993/ah-zoete-kleine-appeltjes,3.19,1 kg
"Aardappel, groente, fruit",AH Biologisch Komkommer,https://www.ah.nl/producten/product/wi101130/ah-biologisch-komkommer,1.45,per stuk
"Aardappel, groente, fruit",AH Snoepgroente komkommer,https://www.ah.nl/producten/product/wi502305/ah-snoepgroente-komkommer,2.19,230 g
"Aardappel, groente, fruit",AH Biologisch Fairtrade bananen,https://www.ah.nl/producten/product/wi368480/ah-biologisch-fairtrade-bananen,2.19,5 stuks
"Aardappel, groente, fruit",AH Prei,https://www.ah.nl/producten/product/wi171425/ah-prei,0.55,per stuk
"Aardappel, groente, fruit",AH Cherrytomaten,https://www.ah.nl/producten/product/wi4137/ah-cherrytomaten,0.95,250 g
"Aardappel, groente, fruit",AH Rode druiven pitloos,https://www.ah.nl/producten/product/wi100232/ah-rode-druiven-pitloos,2.19,500 g
"Aardappel, groente, fruit",AH Sweet palermo rode puntpaprika,https://www.ah.nl/producten/product/wi123865/ah-sweet-palermo-rode-puntpaprika,1.59,2 stuks
"Aardappel, groente, fruit",AH Tomatenpuree,https://www.ah.nl/producten/product/wi2226/ah-tomatenpuree,0.49,70 g
"Aardappel, groente, fruit",AH Snoepgroente tomaatt/m woensdag,https://www.ah.nl/producten/product/wi471641/ah-snoepgroente-tomaat,3.19,500 g
"Aardappel, groente, fruit",AH Bosui,https://www.ah.nl/producten/product/wi169813/ah-bosui,0.92,per bosje
"Aardappel, groente, fruit",AH Snoepgroente tomaat,https://www.ah.nl/producten/product/wi490796/ah-snoepgroente-tomaat,2.19,250 g
"Aardappel, groente, fruit",AH Aubergine,https://www.ah.nl/producten/product/wi4180/ah-aubergine,0.85,per stuk
"Aardappel, groente, fruit",AH Tomaten,https://www.ah.nl/producten/product/wi4088/ah-tomaten,1.39,500 g
"Aardappel, groente, fruit",AH Galia meloen,https://www.ah.nl/producten/product/wi141/ah-galia-meloen,2.69,per stuk
"Aardappel, groente, fruit",AH Mandarijnen,https://www.ah.nl/producten/product/wi94782/ah-mandarijnen,2.75,1 kg
"Aardappel, groente, fruit",AH Bloemkool,https://www.ah.nl/producten/product/wi4183/ah-bloemkool,1.95,per stuk
"Aardappel, groente, fruit",AH Geschrapte worteltjes,https://www.ah.nl/producten/product/wi111781/ah-geschrapte-worteltjes,1.00,300 g
"Aardappel, groente, fruit",AH IJsbergsla,https://www.ah.nl/producten/product/wi4099/ah-ijsbergsla,1.05,per stuk
"Aardappel, groente, fruit",AH Rucola,https://www.ah.nl/producten/product/wi111767/ah-rucola,1.09,85 g
"Aardappel, groente, fruit",Pink Lady Appels schaal,https://www.ah.nl/producten/product/wi117190/pink-lady-appels-schaal,3.49,4 stuks
"Aardappel, groente, fruit",AH Sperziebonen,https://www.ah.nl/producten/product/wi395946/ah-sperziebonen,2.29,400 g
"Aardappel, groente, fruit",AH Conference bak,https://www.ah.nl/producten/product/wi383655/ah-conference-bak,2.09,1 kg
"Aardappel, groente, fruit",AH Basilicum,https://www.ah.nl/producten/product/wi41172/ah-basilicum,1.19,15 g
"Aardappel, groente, fruit",AH Witte champignons,https://www.ah.nl/producten/product/wi4169/ah-witte-champignons,1.25,250 g
"Salades, pizza, maaltijden",Jan Poffertjes met boter en suikerAdvertentie,https://www.ah.nl/producten/product/wi497933/jan-poffertjes-met-boter-en-suiker,3.29,38 st
"Salades, pizza, maaltijden",Jan Pannenkoeken naturelAdvertentie,https://www.ah.nl/producten/product/wi497932/jan-pannenkoeken-naturel,3.69,675 g
"Salades, pizza, maaltijden",AH Verse gnocchi,https://www.ah.nl/producten/product/wi410944/ah-verse-gnocchi,2.99,400 g
"Salades, pizza, maaltijden",AH Banaan spelt pancakes,https://www.ah.nl/producten/product/wi383671/ah-banaan-spelt-pancakes,2.29,160 g
"Salades, pizza, maaltijden",Dr. Oetker Ristorante pizza salami,https://www.ah.nl/producten/product/wi514003/dr-oetker-ristorante-pizza-salami,2.49,320 g
"Salades, pizza, maaltijden",AH Pannenkoeken naturel,https://www.ah.nl/producten/product/wi130455/ah-pannenkoeken-naturel,2.85,8 stuks
"Salades, pizza, maaltijden",AH Pizzadeeg,https://www.ah.nl/producten/product/wi435163/ah-pizzadeeg,1.99,260 g
"Salades, pizza, maaltijden",AH American pancakes naturel,https://www.ah.nl/producten/product/wi140715/ah-american-pancakes-naturel,1.99,6 stuks
"Salades, pizza, maaltijden",AH Tagliatelle all' uovo,https://www.ah.nl/producten/product/wi56027/ah-tagliatelle-all-uovo,2.29,250 g
"Salades, pizza, maaltijden",AH Spaghetti all' uovo,https://www.ah.nl/producten/product/wi168206/ah-spaghetti-all-uovo,2.29,250 g
"Salades, pizza, maaltijden",AH Italiaanse lasagne verspakket,https://www.ah.nl/producten/product/wi226973/ah-italiaanse-lasagne-verspakket,5.89,4 personen
"Salades, pizza, maaltijden",AH Pizzadeeg tomatensaus,https://www.ah.nl/producten/product/wi134027/ah-pizzadeeg-tomatensaus,2.19,600 g
"Salades, pizza, maaltijden",AH Salade erbij caesar mix,https://www.ah.nl/producten/product/wi120877/ah-salade-erbij-caesar-mix,4.19,285 g
"Salades, pizza, maaltijden",Van Gilse Poedersuiker,https://www.ah.nl/producten/product/wi187619/van-gilse-poedersuiker,1.09,250 g
"Salades, pizza, maaltijden",Dr. Oetker Ristorante pizza margherita,https://www.ah.nl/producten/product/wi514005/dr-oetker-ristorante-pizza-margherita,3.79,295 g
"Salades, pizza, maaltijden",AH Worstenbroodjes,https://www.ah.nl/producten/product/wi199771/ah-worstenbroodjes,1.85,4 stuks
"Salades, pizza, maaltijden",AH Pastasaus tomaat mascarpone,https://www.ah.nl/producten/product/wi120332/ah-pastasaus-tomaat-mascarpone,2.49,225 g
"Salades, pizza, maaltijden",AH Verse ravioli 5 formaggio,https://www.ah.nl/producten/product/wi142435/ah-verse-ravioli-5-formaggio,2.39,250 g
"Salades, pizza, maaltijden",Koopmans Mix voor pannenkoeken origineel,https://www.ah.nl/producten/product/wi3453/koopmans-mix-voor-pannenkoeken-origineel,1.09,400 g
"Salades, pizza, maaltijden",AH Gesneden verspakket nasi,https://www.ah.nl/producten/product/wi495901/ah-gesneden-verspakket-nasi,6.89,2-3 personen
"Salades, pizza, maaltijden",AH Verse tortelloni verdi ricotta e spinaci,https://www.ah.nl/producten/product/wi62699/ah-verse-tortelloni-verdi-ricotta-e-spinaci,2.39,250 g
"Salades, pizza, maaltijden",AH Verse ravioli formaggio e pomodoro,https://www.ah.nl/producten/product/wi59296/ah-verse-ravioli-formaggio-e-pomodoro,2.39,250 g
"Salades, pizza, maaltijden",AH Poffertjes,https://www.ah.nl/producten/product/wi236874/ah-poffertjes,1.79,24 stuks
"Salades, pizza, maaltijden",AH Focaccia mozzarella,https://www.ah.nl/producten/product/wi524337/ah-focaccia-mozzarella,2.59,2 stuks
"Salades, pizza, maaltijden",Dr. Oetker Ristorante pizza salami mozzarella pesto,https://www.ah.nl/producten/product/wi514008/dr-oetker-ristorante-pizza-salami-mozzarella-pesto,3.79,360 g
"Salades, pizza, maaltijden",AH Indiase curry madras verspakket,https://www.ah.nl/producten/product/wi233440/ah-indiase-curry-madras-verspakket,5.89,4 personen
"Salades, pizza, maaltijden",AH Quiche lorraine,https://www.ah.nl/producten/product/wi55960/ah-quiche-lorraine,3.99,300 g
"Salades, pizza, maaltijden",AH Bapao rundvlees,https://www.ah.nl/producten/product/wi31392/ah-bapao-rundvlees,1.09,115 g
"Salades, pizza, maaltijden",AH Aardappelgratin naturel,https://www.ah.nl/producten/product/wi202678/ah-aardappelgratin-naturel,2.65,500 g
"Salades, pizza, maaltijden",AH Bapao kip,https://www.ah.nl/producten/product/wi33018/ah-bapao-kip,1.09,115 g
"Salades, pizza, maaltijden",Dr. Oetker Ristorante pizza mozzarella,https://www.ah.nl/producten/product/wi513999/dr-oetker-ristorante-pizza-mozzarella,2.49,355 g
"Salades, pizza, maaltijden",AH Lasagne all uovo,https://www.ah.nl/producten/product/wi160914/ah-lasagne-all-uovo,2.29,250 g
"Salades, pizza, maaltijden",AH Proteïne pancakes,https://www.ah.nl/producten/product/wi560642/ah-proteine-pancakes,2.29,160 g
"Salades, pizza, maaltijden",AH Salade erbij italiaanse mix,https://www.ah.nl/producten/product/wi128130/ah-salade-erbij-italiaanse-mix,3.99,250 g
"Salades, pizza, maaltijden",AH Salade erbij witlof appel,https://www.ah.nl/producten/product/wi237426/ah-salade-erbij-witlof-appel,3.69,335 g
"Salades, pizza, maaltijden",Dr. Oetker Big Americans pizza Texas,https://www.ah.nl/producten/product/wi62761/dr-oetker-big-americans-pizza-texas,4.99,435 g
"Salades, pizza, maaltijden",AH Verspakket tomatensoep,https://www.ah.nl/producten/product/wi198386/ah-verspakket-tomatensoep,4.89,6 personen
"Salades, pizza, maaltijden",Dr. Oetker Ristorante pizza quattro formaggi,https://www.ah.nl/producten/product/wi514065/dr-oetker-ristorante-pizza-quattro-formaggi,3.49,340 g
