Category,Product Link,Product Name,Price,Quantity
Aardappelen,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/aardappelen/jcr:content/par/tiles/par/articletile12_copy_1.html,Culinaire smaak aardappels,1.49,Zak 800 g.
Aardappelen,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/aardappelen/jcr:content/par/tiles/par/articletile12_copy_1_1744342783.html,Culinaire zoete aardappelen,1.99,750 g
Aardappelen,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/aardappelen/jcr:content/par/tiles/par/articletile_1802744775.html,Vastkokende aardappelen,N/A,1-kg
Aardappelen,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/aardappelen/jcr:content/par/tiles/par/articletile_118077480.html,Vastkokende aardappelen,N/A,3 kg
Aardappelen,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/aardappelen/jcr:content/par/tiles/par/articletile12.html,Grote kruimige aardappelen,N/A,3 kg
Aardappelen,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/aardappelen/jcr:content/par/tiles/par/articletile11_copy_c.html,Kruimige aardappelen,N/A,1 kg
Aardappelen,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/aardappelen/jcr:content/par/tiles/par/articletile11_copy.html,Kruimige aardappelen,N/A,10 kg.
Aardappelen,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/aardappelen/jcr:content/par/tiles/par/articletile11_copy_1032690069.html,Opperdoezer,N/A,2 kg
Aardappelen,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/aardappelen/jcr:content/par/tiles/par/articletile_765201289.html,Culinaire kriel,N/A,1 kg
Aardappelen,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/aardappelen/jcr:content/par/tiles/par/articletile11.html,Kruimige aardappelen,N/A,5 kg
Aardappelen,https://www.aldi.nl//content/aldi/netherlands/nl/web-consumer/producten/aardappels-groente-fruit/aardappelen/jcr:content/par/tiles/par/articletile8_copy_co.html,Biologische aardappelen,N/A,2 kg
