product_name,product_price,product_link,product_quantity
ARGETA POLLO,1.226,https://anamarket.uwbuurtwinkel.nl/product/en/argeta-pollo-95g_3838975566705,95G
ARGETA PUTEN,1.39,https://anamarket.uwbuurtwinkel.nl/product/en/argeta-puten-95g_3838975566521,95G
ARGETA RAMADAN,1.39,https://anamarket.uwbuurtwinkel.nl/product/en/argeta-ramadan-95g_3838471030953,95G
ARGETA SARDINE TOMAAT,1.39,https://anamarket.uwbuurtwinkel.nl/product/en/argeta-sardine-tomaat-95g_3838471035361,95G
ARGETA TONIJNPASTA,1.49,https://anamarket.uwbuurtwinkel.nl/product/en/argeta-tonijnpasta-95g_3838975566569,95G
A ROYAL ORIENT SAMBAL OELEK,2.29,https://anamarket.uwbuurtwinkel.nl/product/en/a-royal-orient-sambal-oelek-400gr_8717677863174,400GR
AROY-D COCOS MELK,2.99,https://anamarket.uwbuurtwinkel.nl/product/en/aroy-d-cocos-melk-500ml_8851613101385,500ML
AROY-D KOKOSMELK,1.69,https://anamarket.uwbuurtwinkel.nl/product/en/aroy-d-kokosmelk-250ml_8851613101378,250ML
ARUBA MAIS MEEL,0.99,https://anamarket.uwbuurtwinkel.nl/product/en/aruba-mais-meel-200g_5285002195427,200G
ARUBA MANGO DRINK,2.49,https://anamarket.uwbuurtwinkel.nl/product/en/aruba-mango-drink-750ml_5285002190101,750ML
ARUBA STOUF MIX,2.49,https://anamarket.uwbuurtwinkel.nl/product/en/aruba-stouf-mix-500g_5285002196059,500G
ASHOKA BHINDI MASALA,1.89,https://anamarket.uwbuurtwinkel.nl/product/en/ashoka-bhindi-masala-280g_8901552011747,280G
ASHOKA BOMBAY BIRYANI,1.89,https://anamarket.uwbuurtwinkel.nl/product/en/ashoka-bombay-biryani-280g_8901552011600,280G
ASHOKA BOMBAY PAV BHAJI,1.89,https://anamarket.uwbuurtwinkel.nl/product/en/ashoka-bombay-pav-bhaji-280g_8901552021456,280G
ASHOKA CURRY LEAVES,1.99,https://anamarket.uwbuurtwinkel.nl/product/en/ashoka-curry-leaves-100g_8901552022316,100G
ASHOKA DAL TADKA,1.89,https://anamarket.uwbuurtwinkel.nl/product/en/ashoka-dal-tadka-280g_8901552021470,280G
ASHOKA GEMBER&KNOFLOOK,6.69,https://anamarket.uwbuurtwinkel.nl/product/en/ashoka-gember-knoflook-1kg_8901552021203,1KG
ASHOKA KNOFLOOK NAAN,2.89,https://anamarket.uwbuurtwinkel.nl/product/en/ashoka-knoflook-naan-340g_8901552014281,340G
