Category,Product Link,Product Name,Price,Quantity
Aardappelen ,/boodschappen/aardappelen-groente-fruit/aardappelen/1%20de%20beste%20aardappelen%20kruimig/108146,1 de Beste Aardappelen kruimig,0.89,1 kg
Aardappelen ,/boodschappen/aardappelen-groente-fruit/aardappelen/1%20de%20beste%20aardappelen%20vastkokend/108147,1 de Beste Aardappelen vastkokend,0.89,1 kg
Aardappelen ,/boodschappen/aardappelen-groente-fruit/aardappelen/fresh%20%26%20easy%20zoete%20aardappelfriet/21204,Fresh & Easy Zoete aardappelfriet,2.19,400 g
Aardappelen ,/boodschappen/aardappelen-groente-fruit/aardappelen/1%20de%20beste%20aardappelschijfjes/67659,1 de Beste Aardappelschijfjes,0.89,450 g
Aardappelen ,/boodschappen/aardappelen-groente-fruit/aardappelen/1%20de%20beste%20bistro%20minikrieltjes/67661,1 de Beste Bistro minikrieltjes,0.99,450 g
Aardappelen ,/boodschappen/aardappelen-groente-fruit/aardappelen/1%20de%20beste%20pofaardappel%20met%20yoghurt-knoflookdressing/67662,1 de Beste Pofaardappel met yoghurt-knoflookdressing,1.99,500 g
Aardappelen ,/boodschappen/aardappelen-groente-fruit/aardappelen/1%20de%20beste%20voordeel%20aardappelschijfjes/67663,1 de Beste Voordeel aardappelschijfjes,1.09,600 g
Aardappelen ,/boodschappen/aardappelen-groente-fruit/aardappelen/1%20de%20beste%20voordeel%20bistro%20minikrieltjes/67664,1 de Beste Voordeel bistro minikrieltjes,1.19,600 g
Aardappelen ,/boodschappen/aardappelen-groente-fruit/aardappelen/1%20de%20beste%20krieltjes%20met%20schil%20gekruid/68878,1 de Beste Krieltjes met schil gekruid,1.49,450 g
Aardappelen ,/boodschappen/aardappelen-groente-fruit/aardappelen/1%20de%20beste%20minikrieltjes/69568,1 de Beste Minikrieltjes,0.89,450 g
Aardappelen ,/boodschappen/aardappelen-groente-fruit/aardappelen/1%20de%20beste%20voorgekookte%20aardappelen%20kruimig/69580,1 de Beste Voorgekookte aardappelen kruimig,0.89,450 g
Aardappelen ,/boodschappen/aardappelen-groente-fruit/aardappelen/1%20de%20beste%20minikrieltjes%20voordeelverpakking/69582,1 de Beste Minikrieltjes voordeelverpakking,1.09,600 g
Aardappelen ,/boodschappen/aardappelen-groente-fruit/aardappelen/1%20de%20beste%20minikrieltjes%20kleinverpakking/69583,1 de Beste Minikrieltjes kleinverpakking,0.59,200 g
Aardappelen ,/boodschappen/aardappelen-groente-fruit/aardappelen/1%20de%20beste%20gekookte%20aardappelen%20vastkokend/69588,1 de Beste Gekookte aardappelen vastkokend,0.89,450 g
Aardappelen ,/boodschappen/aardappelen-groente-fruit/aardappelen/1%20de%20beste%20aardappelpartjes%20gekruid/69589,1 de Beste Aardappelpartjes gekruid,0.89,450 g
Aardappelen ,/boodschappen/aardappelen-groente-fruit/aardappelen/1%20de%20beste%20aardappelgratin%20met%20kaas/69590,1 de Beste Aardappelgratin met kaas,2.39,500 g
Aardappelen ,/boodschappen/aardappelen-groente-fruit/aardappelen/1%20de%20beste%20aardappelpuree/69591,1 de Beste Aardappelpuree,1.89,500 g
Aardappelen ,/boodschappen/aardappelen-groente-fruit/aardappelen/1%20de%20beste%20aardappel%20wedges%20gekruid/71151,1 de Beste Aardappel wedges gekruid,1.29,450 g
Aardappelen ,/boodschappen/aardappelen-groente-fruit/aardappelen/1%20de%20beste%20stamppot%20aardappelen/73565,1 de Beste Stamppot aardappelen,1.49,1 kg
Aardappelen ,/boodschappen/aardappelen-groente-fruit/aardappelen/1%20de%20beste%20voordeel%20krieltjes/75683,1 de Beste Voordeel krieltjes,1.39,700 g
Aardappelen ,/boodschappen/aardappelen-groente-fruit/aardappelen/1%20de%20beste%20verse%20frites/100968,1 de Beste Verse frites,2.49,1 kg
Aardappelen ,/boodschappen/aardappelen-groente-fruit/aardappelen/zoete%20aardappelen/25560,Zoete aardappelen,2.58,1 kg (ca. 5 stuks)
Aardappelen ,/boodschappen/aardappelen-groente-fruit/aardappelen/aardappelen%20kruimig%20los/25561,Aardappelen kruimig los,1.58,1 kg
Aardappelen ,/boodschappen/aardappelen-groente-fruit/aardappelen/vers%20voordeel%20aardappelen%20kruimig/49869,Vers Voordeel Aardappelen kruimig,3.49,4 kg
Aardappelen ,/boodschappen/aardappelen-groente-fruit/aardappelen/bio%2b%20biologische%20aardappelen%20kruimig/52225,Bio+ Biologische aardappelen kruimig,1.79,1 kg
Aardappelen ,/boodschappen/aardappelen-groente-fruit/aardappelen/1%20de%20beste%20culinaire%20kriel%20aardappelen/82857,1 de Beste Culinaire kriel aardappelen,2.29,1 kg
Aardappelen ,/boodschappen/aardappelen-groente-fruit/aardappelen/1%20de%20beste%20culinaire%20rode%20kriel/82858,1 de Beste Culinaire rode kriel,2.29,1 kg
Aardappelen ,/boodschappen/aardappelen-groente-fruit/aardappelen/1%20de%20beste%20aardappelen%20vastkokend/103915,1 de Beste Aardappelen vastkokend,3.99,3 kg
Biologisch AGF ,/boodschappen/aardappelen-groente-fruit/groente/bio%2b%20biologische%20rode%20bieten%20gekookt/9,Bio+ Biologische rode bieten gekookt,0.99,500 g
Biologisch AGF ,/boodschappen/aardappelen-groente-fruit/groenteconserven/bonduelle%20crispy%20ma%c3%afs/2887,Bonduelle Crispy maïs,1.85,150 g
Biologisch AGF ,/boodschappen/aardappelen-groente-fruit/sla-verse-kruiden/bio%2b%20biologische%20tuinkers/4434,Bio+ Biologische tuinkers,0.99,Per stuk
Biologisch AGF ,/boodschappen/aardappelen-groente-fruit/groente/bio%2b%20biologische%20bloemkool/4488,Bio+ Biologische bloemkool,1.99,Per stuk
Biologisch AGF ,/boodschappen/aardappelen-groente-fruit/groente/bio%2b%20biologische%20komkommer/4520,Bio+ Biologische komkommer,1.29,Per stuk
Biologisch AGF ,/boodschappen/aardappelen-groente-fruit/groenteconserven/heinz%20gepelde%20tomaten%20biologisch/5959,Heinz Gepelde tomaten biologisch,1.45,400 g
Biologisch AGF ,/boodschappen/aardappelen-groente-fruit/groente/bio%2b%20biologische%20broccoli/6316,Bio+ Biologische broccoli,1.99,400 g
Biologisch AGF ,/boodschappen/aardappelen-groente-fruit/groente/bio%2b%20biologische%20courgette/6636,Bio+ Biologische courgette,0.99,Per stuk
Biologisch AGF ,/boodschappen/aardappelen-groente-fruit/groente/bio%2b%20trostomaten/13349,Bio+ Trostomaten,2.59,500 g
Biologisch AGF ,/boodschappen/voorraadkast/speciale-voeding/smaakt%20mungbonen/30245,Smaakt Mungbonen,2.59,400 g
Biologisch AGF ,/boodschappen/aardappelen-groente-fruit/groente/smaakt%20splitlinzen%20rood/51356,Smaakt Splitlinzen rood,2.39,400 g
Biologisch AGF ,/boodschappen/aardappelen-groente-fruit/aardappelen/bio%2b%20biologische%20aardappelen%20kruimig/52225,Bio+ Biologische aardappelen kruimig,1.79,1 kg
Biologisch AGF ,/boodschappen/aardappelen-groente-fruit/groente/bio%2b%20biologische%20zuurkool%20naturel/56029,Bio+ Biologische zuurkool naturel,0.99,500 g
Biologisch AGF ,/boodschappen/aardappelen-groente-fruit/groente/bio%2b%20biologische%20zuurkool%20kruiden/56030,Bio+ Biologische zuurkool kruiden,0.99,500 g
Biologisch AGF ,/boodschappen/aardappelen-groente-fruit/groente/bio%2b%20biologische%20wijn%20zuurkool/56031,Bio+ Biologische wijn zuurkool,0.99,500 g
Biologisch AGF ,/boodschappen/aardappelen-groente-fruit/groente/bio%2b%20biologische%20rode%20kool%20met%20appel/56058,Bio+ Biologische rode kool met appel,1.39,500 g
Biologisch AGF ,/boodschappen/aardappelen-groente-fruit/fruit/biologische%20fairtrade%20bananen/57632,Biologische fairtrade bananen,1.89,5 stuks
Biologisch AGF ,/boodschappen/aardappelen-groente-fruit/fruit/bio%2b%20kiwi%20green%20verpakt/57714,BIO+ Kiwi green verpakt,2.49,4 stuks
Biologisch AGF ,/boodschappen/aardappelen-groente-fruit/sla-verse-kruiden/bio%2b%20biologische%20rucola/58883,Bio+ Biologische rucola,0.89,40 g
Biologisch AGF ,/boodschappen/aardappelen-groente-fruit/groente/bio%2b%20biologische%20rode%20uien/64080,Bio+ Biologische rode uien,0.99,500 g
Biologisch AGF ,/boodschappen/aardappelen-groente-fruit/groente/bio%2b%20biologische%20paprika%20duo/74094,Bio+ Biologische paprika duo,2.39,2 stuks
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/1%20de%20beste%20handperen%20verpakt/66443,1 de Beste Handperen verpakt,1.29,1 kg
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/1%20de%20beste%20granny%20smith/68729,1 de Beste Granny smith,2.89,6 stuks
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/1%20de%20beste%20limoenen/76205,1 de Beste Limoenen,0.99,3 Stuks
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/1%20de%20beste%20mandarijnen%20verpakt/76573,1 de Beste Mandarijnen verpakt,2.39,1 kg
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/1%20de%20beste%20fruitsalade%20luxe/63125,1 de Beste Fruitsalade luxe,2.99,500 g
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/1%20de%20beste%20pitloze%20rode%20druiven/59970,1 de Beste Pitloze rode druiven,1.89,500 g
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/zespri%20kiwi%20sungold%20nieuw-zeeland/99427,Zespri kiwi sungold Nieuw-Zeeland,5.58,1 kg
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/golden%20delicious/4418,Golden delicious,1.79,1 kg (ca. 6 stuks)
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/hollandse%20elstar/4422,Hollandse Elstar,1.79,1 kg (ca. 5 stuks)
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/hollandse%20jonagold/4423,Hollandse Jonagold,1.79,1 kg (ca. 6 stuks)
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/hollandse%20doyenne%20du%20comice%20handperen/4514,Hollandse Doyenne du comice handperen,1.99,1 kg (ca. 7 stuks)
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/hollandse%20goudreinet/4518,Hollandse Goudreinet,1.79,1 kg (ca. 4 stuks)
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/stoofperen%20gieser%20wildeman/4538,Stoofperen Gieser Wildeman,1.99,1 kg (ca. 8 stuks)
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/royal%20gala/4608,Royal gala,1.79,1 kg
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/kanzi%20appelen/6091,Kanzi Appelen,3.99,1.5 kg
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/jazz%20verpakt/13073,Jazz verpakt,2.99,4 stuks
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/pink%20lady%20verpakt/13178,Pink lady verpakt,2.99,4 stuks
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/jonagold%20verpakt/58179,Jonagold verpakt,2.59,"Per 1,5 kilo"
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/1%20de%20beste%20elstar/63994,1 de Beste Elstar,2.69,"1,5 kg"
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/1%20de%20beste%20royal%20gala/63996,1 de Beste Royal gala,2.99,"1,5 kg"
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/1%20de%20beste%20golden%20delicious%20italie/68728,1 de Beste Golden delicious italie,2.49,6 stuks
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/gezond%20tussendoortje/84300,Gezond tussendoortje,0.99,Per stuk
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/bio%2b%20bio%20handperen%20verpakt/102783,Bio+ Bio handperen verpakt,2.69,4 Stuks
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/del%20monte%20bananen/4579,Del Monte Bananen,1.49,1 kg (ca. 5 stuks)
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/biologische%20fairtrade%20bananen/57632,Biologische fairtrade bananen,1.89,5 stuks
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/grote%20citroen/4594,Grote citroen,0.49,Per stuk
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/minneola/44888,Minneola,2.78,1 kg (ca. 5 stuks)
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/1%20de%20beste%20handsinaasappelen%20verpakt/76554,1 de Beste Handsinaasappelen verpakt,2.99,2 kg
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/1%20de%20beste%20perssinaasappelen%20verpakt/76555,1 de Beste Perssinaasappelen verpakt,2.89,2 kg
Fruit ,/boodschappen/aardappelen-groente-fruit/fruit/1%20de%20beste%20citroenen%20verpakt/82672,1 de Beste Citroenen verpakt,0.99,500 g
