product_name,product_link,product_category,product_price,product_quantity
Dole Bananen 5 Stuks,,aardappelen_groente_fruit,1.89,stuk
Jumbo Aardbeien Hollands 400g,,aardappelen_groente_fruit,3.69,kilo
Zespri Sun Gold Kiwifruit 6 Stuks,,aardappelen_groente_fruit,4.99,stuk
Jumbo Mandarijnen 1kg,,aardappelen_groente_fruit,2.75,kilo
Jumbo Druiven Wit Pitloos 500g,,aardappelen_groente_fruit,1.99,kilo
Bimi 200g,,aardappelen_groente_fruit,2.79,kilo
Jumbo Aardappelen Kruimig 3kg,,aardappelen_groente_fruit,4.99,kilo
Jumbo Komkommer,,aardappelen_groente_fruit,0.85,stuk
Hak Kikkererwten 190g,,aardappelen_groente_fruit,0.97,kilo
"Jumbo Jonagold Appels Voordeelverpakking 1, 5kg",,aardappelen_groente_fruit,2.59,kilo
Jumbo Snackgroente Tomaatjes 500g,,aardappelen_groente_fruit,3.19,kilo
Jumbo Galia Meloen,,aardappelen_groente_fruit,2.69,stuk
Jumbo Paprika Mix 3 Stuks,,aardappelen_groente_fruit,1.79,stuk
Jumbo Conference Peren 1KG,,aardappelen_groente_fruit,2.05,kilo
Jumbo Watermeloen 1 Stuk,,aardappelen_groente_fruit,4.39,stuk
Zespri Green Kiwifruit 1kg,,aardappelen_groente_fruit,4.99,kilo
Jumbo Witlof 2-3 Personen - 500g,,aardappelen_groente_fruit,1.99,kilo
Jumbo Handsinaasappelen 2kg,,aardappelen_groente_fruit,3.49,kilo
Jumbo Aardappelen Kruimig Extra Groot 3kg,,aardappelen_groente_fruit,4.99,kilo
Jumbo Bloemkool 3 Personen,,aardappelen_groente_fruit,1.95,stuk
Nectarines 1kg,,aardappelen_groente_fruit,3.19,kilo
Kanzi Appels 1kg,,aardappelen_groente_fruit,3.99,kilo
Jumbo Sperziebonen 500g,,aardappelen_groente_fruit,2.09,kilo
Jumbo Broccoli 2 Personen - 500g,,aardappelen_groente_fruit,0.89,kilo
Jumbo Snackgroente Tomaatjes Voordeelverpakking 1kg,,aardappelen_groente_fruit,5.99,kilo
